DATE,____-5,____-4,____-3,____-2,____-1,_____0,POSITI,____+1,____DIF
2020-11-20,0.0039,-0.0018,0.0031,0.0022,-0.0023,0.0036,BUY,1.1252,0.0052
2020-11-19,-0.0112,0.0039,-0.0018,0.0031,0.0022,-0.0023,BUY,1.1200,0.0036
2020-11-18,-0.0002,-0.0112,0.0039,-0.0018,0.0031,0.0022,SELL,1.1164,-0.0023
2020-11-17,0.0089,-0.0002,-0.0112,0.0039,-0.0018,0.0031,BUY,1.1187,0.0022
2020-11-16,0.0069,0.0089,-0.0002,-0.0112,0.0039,-0.0018,BUY,1.1165,0.0031
2020-11-13,-0.0046,0.0069,0.0089,-0.0002,-0.0112,0.0039,SELL,1.1134,-0.0018
2020-11-12,0.0037,-0.0046,0.0069,0.0089,-0.0002,-0.0112,BUY,1.1152,0.0039
2020-11-11,-0.0067,0.0037,-0.0046,0.0069,0.0089,-0.0002,SELL,1.1113,-0.0112
2020-11-10,0.0048,-0.0067,0.0037,-0.0046,0.0069,0.0089,NOTRAD,1.1225,-0.0002
2020-11-09,-0.0018,0.0048,-0.0067,0.0037,-0.0046,0.0069,BUY,1.1227,0.0089
2020-11-06,0.0047,-0.0018,0.0048,-0.0067,0.0037,-0.0046,BUY,1.1138,0.0069
2020-11-05,0.0017,0.0047,-0.0018,0.0048,-0.0067,0.0037,SELL,1.1069,-0.0046
2020-11-04,-0.0011,0.0017,0.0047,-0.0018,0.0048,-0.0067,BUY,1.1115,0.0037
2020-11-03,0.0043,-0.0011,0.0017,0.0047,-0.0018,0.0048,SELL,1.1078,-0.0067
2020-11-02,0.0028,0.0043,-0.0011,0.0017,0.0047,-0.0018,BUY,1.1145,0.0048
2020-10-30,-0.0071,0.0028,0.0043,-0.0011,0.0017,0.0047,SELL,1.1097,-0.0018
2020-10-29,-0.0015,-0.0071,0.0028,0.0043,-0.0011,0.0017,BUY,1.1115,0.0047
2020-10-28,0.0134,-0.0015,-0.0071,0.0028,0.0043,-0.0011,BUY,1.1068,0.0017
2020-10-27,-0.0053,0.0134,-0.0015,-0.0071,0.0028,0.0043,SELL,1.1051,-0.0011
2020-10-26,-0.0022,-0.0053,0.0134,-0.0015,-0.0071,0.0028,BUY,1.1062,0.0043
2020-10-23,0.0,-0.0022,-0.0053,0.0134,-0.0015,-0.0071,BUY,1.1019,0.0028
